tag,level,family,coverage,avg_set_size,abstain_rate,empty_rate,n,rep,aggregation,alpha
rule_alpha0.2,fine,spoof,0.75,1.25,0.25,0.0,20,2,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.62,1.18,0.18,0.0,50,2,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.6,1.05,0.05,0.0,20,2,rule,0.2
rule_alpha0.2,coarse,nominal,0.75,1.1,0.1,0.0,20,2,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.7,1.042857142857143,0.04285714285714286,0.0,70,2,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.6,0.9,0.1,0.1,20,2,rule,0.2
stacked_alpha0.1,fine,nominal,0.95,1.0,0.0,0.0,20,2,stacked,0.1
stacked_alpha0.1,fine,spoof,0.95,1.05,0.05,0.0,20,2,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.86,0.86,0.14,0.14,50,2,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,0.85,0.9,0.1,0.1,20,2,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.95,1.0,0.0,0.0,20,2,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.9571428571428572,0.9857142857142858,0.014285714285714285,0.014285714285714285,70,2,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,0.85,0.85,0.15,0.15,20,2,stacked,0.1
stacked_alpha0.2,fine,nominal,0.8,0.85,0.15,0.15,20,2,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.85,0.15,0.15,20,2,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.52,0.52,0.48,0.48,50,2,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.6,0.6,0.4,0.4,20,2,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.8,0.85,0.15,0.15,20,2,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.9142857142857143,0.9142857142857143,0.08571428571428572,0.08571428571428572,70,2,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.6,0.6,0.4,0.4,20,2,stacked,0.2
rule_alpha0.1,fine,nominal,0.75,1.6,0.45,0.0,20,3,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.35,0.3,0.0,20,3,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.88,1.48,0.38,0.0,50,3,rule,0.1
rule_alpha0.1,fine,sensor_fault,1.0,1.45,0.35,0.0,20,3,rule,0.1
rule_alpha0.1,coarse,nominal,0.75,1.6,0.45,0.0,20,3,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.8571428571428571,1.2428571428571429,0.21428571428571427,0.0,70,3,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,1.0,1.4,0.35,0.0,20,3,rule,0.1
rule_alpha0.2,fine,nominal,0.55,1.25,0.25,0.0,20,3,rule,0.2
rule_alpha0.2,fine,spoof,0.8,1.2,0.2,0.0,20,3,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.76,1.12,0.14,0.02,50,3,rule,0.2
rule_alpha0.2,fine,sensor_fault,1.0,1.3,0.3,0.0,20,3,rule,0.2
rule_alpha0.2,coarse,nominal,0.55,1.05,0.05,0.0,20,3,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.7857142857142857,1.0571428571428572,0.05714285714285714,0.0,70,3,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,1.0,1.25,0.25,0.0,20,3,rule,0.2
stacked_alpha0.1,fine,nominal,0.8,1.1,0.1,0.0,20,3,stacked,0.1
stacked_alpha0.1,fine,spoof,0.85,1.05,0.05,0.0,20,3,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.88,0.96,0.04,0.04,50,3,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,1.0,1.0,0.0,0.0,20,3,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.8,0.85,0.15,0.15,20,3,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.8714285714285714,0.9285714285714286,0.07142857142857142,0.07142857142857142,70,3,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,20,3,stacked,0.1
stacked_alpha0.2,fine,nominal,0.7,0.75,0.25,0.25,20,3,stacked,0.2
stacked_alpha0.2,fine,spoof,0.55,0.65,0.35,0.35,20,3,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.84,0.9,0.1,0.1,50,3,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,1.0,1.0,0.0,0.0,20,3,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.7,0.75,0.25,0.25,20,3,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.8285714285714286,0.8571428571428571,0.14285714285714285,0.14285714285714285,70,3,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,20,3,stacked,0.2
rule_alpha0.1,fine,nominal,0.9,1.4,0.4,0.0,20,4,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.95,0.85,0.0,20,4,rule,0.1
rule_alpha0.1,fine,gps_degrade,1.0,1.4,0.34,0.0,50,4,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.8,1.4,0.4,0.0,20,4,rule,0.1
rule_alpha0.1,coarse,nominal,0.9,1.3,0.3,0.0,20,4,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.8,1.1571428571428573,0.15714285714285714,0.0,70,4,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.8,1.4,0.4,0.0,20,4,rule,0.1
rule_alpha0.2,fine,nominal,0.7,1.0,0.0,0.0,20,4,rule,0.2
rule_alpha0.2,fine,spoof,0.8,1.05,0.05,0.0,20,4,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.74,1.08,0.08,0.0,50,4,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.7,1.1,0.1,0.0,20,4,rule,0.2
rule_alpha0.2,coarse,nominal,0.7,1.0,0.0,0.0,20,4,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.7857142857142857,1.0571428571428572,0.05714285714285714,0.0,70,4,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.7,1.1,0.1,0.0,20,4,rule,0.2
stacked_alpha0.1,fine,nominal,1.0,1.35,0.35,0.0,20,4,stacked,0.1
stacked_alpha0.1,fine,spoof,1.0,1.6,0.6,0.0,20,4,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.88,0.92,0.12,0.1,50,4,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,0.85,1.25,0.25,0.0,20,4,stacked,0.1
stacked_alpha0.1,coarse,nominal,1.0,1.1,0.1,0.0,20,4,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.9571428571428572,1.1571428571428573,0.15714285714285714,0.0,70,4,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,0.85,1.25,0.25,0.0,20,4,stacked,0.1
stacked_alpha0.2,fine,nominal,0.8,0.9,0.1,0.1,20,4,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.9,0.1,0.1,20,4,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.8,0.8,0.2,0.2,50,4,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.7,0.7,0.3,0.3,20,4,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.8,0.8,0.2,0.2,20,4,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.8857142857142857,0.9,0.1,0.1,70,4,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.7,0.7,0.3,0.3,20,4,stacked,0.2
