tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha
stacked_alpha0.2,fine,sensor_fault,0.9,0.95,0.0,0.05,0.05,0.1,0.1,20,1,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.75,1.0,0.0,0.0,0.0,0.0,0.0,20,1,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.8,0.975,0.0,0.025,0.025,0.125,0.125,40,1,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.9,0.95,0.0,0.05,0.05,0.1,0.1,20,1,stacked,0.2
rule_alpha0.1,fine,nominal,0.95,1.55,0.55,0.0,0.55,0.0,0.55,20,2,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.8,0.7,0.0,0.7,0.0,0.7,20,2,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.95,1.55,0.45,0.0,0.45,0.0,0.45,20,2,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.75,1.4,0.3,0.0,0.3,0.05,0.35,20,2,rule,0.1
rule_alpha0.1,coarse,nominal,0.95,1.6,0.6,0.0,0.6,0.0,0.6,20,2,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.85,1.35,0.325,0.0,0.325,0.0,0.325,40,2,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.75,1.4,0.3,0.0,0.3,0.05,0.35,20,2,rule,0.1
rule_alpha0.2,fine,nominal,0.75,1.25,0.25,0.0,0.25,0.0,0.25,20,2,rule,0.2
rule_alpha0.2,fine,spoof,0.75,1.25,0.25,0.0,0.25,0.0,0.25,20,2,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.7,1.2,0.2,0.0,0.2,0.0,0.2,20,2,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.6,1.05,0.05,0.0,0.05,0.1,0.15,20,2,rule,0.2
rule_alpha0.2,coarse,nominal,0.75,1.1,0.1,0.0,0.1,0.0,0.1,20,2,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.675,1.05,0.05,0.0,0.05,0.025,0.075,40,2,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.6,0.9,0.0,0.1,0.1,0.2,0.2,20,2,rule,0.2
stacked_alpha0.1,fine,nominal,0.95,1.0,0.0,0.0,0.0,0.0,0.0,20,2,stacked,0.1
stacked_alpha0.1,fine,spoof,0.95,1.05,0.05,0.0,0.05,0.1,0.15,20,2,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.85,0.85,0.0,0.15,0.15,0.15,0.15,20,2,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,0.85,0.9,0.0,0.1,0.1,0.15,0.15,20,2,stacked,0.1
