held_out_family,held_out_subtype,unseen_n_mean,unseen_acc_mean,unseen_coarse_acc_mean,unseen_mean_conf_mean,unseen_coverage_a0.1_mean,unseen_operational_abstain_a0.1_mean,unseen_coarse_coverage_a0.1_mean,unseen_coarse_operational_abstain_a0.1_mean,unseen_coverage_a0.2_mean,unseen_operational_abstain_a0.2_mean,unseen_coarse_coverage_a0.2_mean,unseen_coarse_operational_abstain_a0.2_mean,unseen_gate_mahal_withheld_mean,unseen_gate_mahal_or_conformal_withheld_mean,unseen_gate_iso_withheld_mean,unseen_gate_iso_or_conformal_withheld_mean,unseen_gate_gaprule_withheld_mean,unseen_gate_gaprule_or_conformal_withheld_mean,unseen_gate_mahal_auroc_mean,unseen_gate_mahal_catch_at_5pct_fpr_mean,unseen_gate_iso_auroc_mean,unseen_gate_iso_catch_at_5pct_fpr_mean,unseen_gate_one_minus_conf_auroc_mean,unseen_gate_one_minus_conf_catch_at_5pct_fpr_mean,unseen_gate_gaprule_auroc_mean,unseen_gate_gaprule_catch_at_5pct_fpr_mean,seen_n_mean,seen_acc_mean,seen_coarse_acc_mean,seen_mean_conf_mean,seen_coverage_a0.1_mean,seen_operational_abstain_a0.1_mean,seen_coarse_coverage_a0.1_mean,seen_coarse_operational_abstain_a0.1_mean,seen_coverage_a0.2_mean,seen_operational_abstain_a0.2_mean,seen_coarse_coverage_a0.2_mean,seen_coarse_operational_abstain_a0.2_mean,seen_gate_mahal_withheld_mean,seen_gate_mahal_or_conformal_withheld_mean,seen_gate_iso_withheld_mean,seen_gate_iso_or_conformal_withheld_mean,seen_gate_gaprule_withheld_mean,seen_gate_gaprule_or_conformal_withheld_mean,unseen_n_std,unseen_acc_std,unseen_coarse_acc_std,unseen_mean_conf_std,unseen_coverage_a0.1_std,unseen_operational_abstain_a0.1_std,unseen_coarse_coverage_a0.1_std,unseen_coarse_operational_abstain_a0.1_std,unseen_coverage_a0.2_std,unseen_operational_abstain_a0.2_std,unseen_coarse_coverage_a0.2_std,unseen_coarse_operational_abstain_a0.2_std,unseen_gate_mahal_withheld_std,unseen_gate_mahal_or_conformal_withheld_std,unseen_gate_iso_withheld_std,unseen_gate_iso_or_conformal_withheld_std,unseen_gate_gaprule_withheld_std,unseen_gate_gaprule_or_conformal_withheld_std,unseen_gate_mahal_auroc_std,unseen_gate_mahal_catch_at_5pct_fpr_std,unseen_gate_iso_auroc_std,unseen_gate_iso_catch_at_5pct_fpr_std,unseen_gate_one_minus_conf_auroc_std,unseen_gate_one_minus_conf_catch_at_5pct_fpr_std,unseen_gate_gaprule_auroc_std,unseen_gate_gaprule_catch_at_5pct_fpr_std,seen_n_std,seen_acc_std,seen_coarse_acc_std,seen_mean_conf_std,seen_coverage_a0.1_std,seen_operational_abstain_a0.1_std,seen_coarse_coverage_a0.1_std,seen_coarse_operational_abstain_a0.1_std,seen_coverage_a0.2_std,seen_operational_abstain_a0.2_std,seen_coarse_coverage_a0.2_std,seen_coarse_operational_abstain_a0.2_std,seen_gate_mahal_withheld_std,seen_gate_mahal_or_conformal_withheld_std,seen_gate_iso_withheld_std,seen_gate_iso_or_conformal_withheld_std,seen_gate_gaprule_withheld_std,seen_gate_gaprule_or_conformal_withheld_std,unseen_pred_dist_seed0
spoof,drift_coherent,17.0,0.1569,0.1569,0.686,0.6471,0.5686,0.2157,0.2941,0.2157,0.4314,0.0196,0.5294,0.0,0.5686,0.0,0.5686,0.0,0.5686,0.2732,0.0196,0.1569,0.0,0.6693,0.1176,0.5111,0.0,15.0,0.8667,0.9333,0.7702,0.9111,0.1333,0.8,0.1556,0.8,0.1778,0.5556,0.4,0.0444,0.1778,0.0667,0.2,0.0,0.1333,0.0,0.0277,0.0277,0.0338,0.4582,0.3198,0.1941,0.1441,0.1687,0.2417,0.0277,0.3149,0.0,0.3198,0.0,0.3198,0.0,0.3198,0.0951,0.0277,0.0669,0.0,0.0497,0.1664,0.0157,0.0,0.0,0.0,0.0544,0.0052,0.0831,0.0544,0.144,0.175,0.144,0.1571,0.1133,0.1089,0.0314,0.0629,0.0544,0.0943,0.0,0.0544,"{""nominal"": 13, ""spoof"": 3, ""sensor_fault"": 1}"
spoof,drift_incoherent,22.0,0.0758,0.9848,0.9156,0.1667,0.1818,0.9697,0.0152,0.1212,0.2424,0.9394,0.0606,0.3636,0.5152,0.1667,0.3333,0.0,0.1818,0.9037,0.4242,0.9177,0.7121,0.1353,0.0606,0.4773,0.0,14.0,0.8095,0.8095,0.7497,0.9286,0.2143,0.6905,0.1905,0.8571,0.1905,0.4762,0.4286,0.0714,0.2857,0.0,0.2143,0.0,0.2143,0.0,0.0214,0.0214,0.0048,0.0934,0.0742,0.0214,0.0214,0.1071,0.1134,0.0214,0.0214,0.0643,0.1134,0.1405,0.1905,0.0,0.0742,0.0307,0.2044,0.0107,0.2268,0.0225,0.0567,0.0,0.0,0.0,0.2208,0.2208,0.0449,0.0583,0.1166,0.1468,0.0891,0.0583,0.1468,0.1782,0.2103,0.0583,0.0583,0.0,0.1166,0.0,0.1166,"{""gps_degrade"": 21, ""spoof"": 1}"
spoof,jump,21.0,0.1111,0.2222,0.6193,0.254,0.4762,0.127,0.4444,0.0635,0.9048,0.0476,0.9206,0.0,0.4762,0.0,0.4762,0.0,0.4762,0.5287,0.0159,0.486,0.0,0.8193,0.3175,0.5,0.0,13.0,0.6923,0.7179,0.8237,0.9231,0.2308,0.6154,0.2308,0.6923,0.359,0.5385,0.4103,0.0256,0.2564,0.0256,0.2564,0.0,0.2308,0.0,0.0224,0.0978,0.0548,0.0809,0.1782,0.0978,0.2141,0.0449,0.0778,0.0389,0.0809,0.0,0.1782,0.0,0.1782,0.0,0.1782,0.1652,0.0224,0.1397,0.0,0.0917,0.3237,0.0,0.0,0.0,0.1884,0.1919,0.018,0.0628,0.1662,0.1256,0.0628,0.1088,0.0363,0.1088,0.0959,0.0363,0.1919,0.0363,0.1307,0.0,0.1662,"{""nominal"": 18, ""spoof"": 2, ""gps_degrade"": 1}"
gps_degrade,no_fix_then_ok,30.0,0.9778,1.0,0.8883,0.7444,0.2333,0.9889,0.0111,0.6667,0.3222,0.9333,0.0667,1.0,1.0,0.0556,0.2889,1.0,1.0,1.0,1.0,0.3189,0.0111,0.6567,0.2889,1.0,1.0,20.0,1.0,1.0,0.9633,0.95,0.05,1.0,0.0,0.8667,0.1333,1.0,0.0,0.15,0.2,0.1833,0.2333,0.0,0.05,0.0,0.0157,0.0,0.0059,0.0416,0.0471,0.0157,0.0157,0.0544,0.0685,0.0544,0.0544,0.0,0.0,0.0416,0.0875,0.0,0.0,0.0,0.0,0.027,0.0157,0.0592,0.0567,0.0,0.0,0.0,0.0,0.0,0.0085,0.0707,0.0707,0.0,0.0,0.0624,0.0624,0.0,0.0,0.0408,0.0816,0.0471,0.0624,0.0,0.0707,"{""gps_degrade"": 29, ""spoof"": 1}"
gps_degrade,off_then_ok,32.0,0.9167,0.9688,0.7215,0.3333,0.6146,0.9792,0.0521,0.1875,0.7604,0.7812,0.1979,1.0,1.0,0.0208,0.6354,1.0,1.0,1.0,1.0,0.0729,0.0,0.9385,0.7604,1.0,1.0,20.0,1.0,1.0,0.9651,0.9667,0.0333,1.0,0.0,0.9167,0.0833,1.0,0.0,0.1333,0.1667,0.2333,0.2667,0.0,0.0333,0.0,0.0642,0.0255,0.0287,0.0589,0.1151,0.0295,0.0531,0.1112,0.1062,0.0675,0.082,0.0,0.0,0.0147,0.1284,0.0,0.0,0.0,0.0,0.0262,0.0,0.0224,0.1473,0.0,0.0,0.0,0.0,0.0,0.0044,0.0236,0.0236,0.0,0.0,0.0471,0.0471,0.0,0.0,0.0236,0.0471,0.0624,0.085,0.0,0.0236,"{""gps_degrade"": 32}"
gps_degrade,stuck_then_ok,28.0,0.0,0.9405,0.9907,0.0,0.0119,0.9405,0.0119,0.0,0.0238,0.9405,0.0238,0.9405,0.9405,0.8333,0.8333,0.0,0.0119,0.9892,0.9643,0.9508,0.881,0.0368,0.0119,0.0,0.0,22.0,1.0,1.0,0.9423,0.9697,0.0303,1.0,0.0,0.8485,0.1515,0.9848,0.0152,0.0152,0.0455,0.1515,0.1818,0.0,0.0303,0.0,0.0,0.0842,0.0127,0.0,0.0168,0.0842,0.0168,0.0,0.0337,0.0842,0.0337,0.0168,0.0168,0.1347,0.1347,0.0,0.0168,0.0108,0.0292,0.0166,0.0673,0.0429,0.0168,0.0,0.0,0.0,0.0,0.0,0.0287,0.0429,0.0429,0.0,0.0,0.0857,0.0857,0.0214,0.0214,0.0214,0.0643,0.1193,0.1113,0.0,0.0429,"{""spoof"": 28}"
sensor_fault,baro_stuck,29.0,0.0,0.0,0.8855,0.0,0.2069,0.0,0.0,0.0,0.2759,0.0,0.0345,0.9885,0.9885,0.0,0.2069,1.0,1.0,1.0,1.0,0.0,0.0,0.5193,0.2184,1.0,1.0,11.0,0.9697,0.9697,0.9011,0.9091,0.0909,0.9091,0.0909,0.7879,0.1818,0.7879,0.1818,0.0303,0.1212,0.0606,0.1515,0.0,0.0909,0.0,0.0,0.0,0.0946,0.0,0.2926,0.0,0.0,0.0,0.3901,0.0,0.0488,0.0163,0.0163,0.0,0.2926,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,0.3089,0.0,0.0,0.0,0.0429,0.0429,0.0783,0.0742,0.0742,0.0742,0.0742,0.1545,0.1485,0.1545,0.1485,0.0429,0.0857,0.0857,0.1134,0.0,0.0742,"{""spoof"": 29}"
sensor_fault,mag_stuck,31.0,0.3333,0.3333,0.9109,0.3226,0.1613,0.3226,0.0753,0.3011,0.1075,0.3011,0.129,0.9892,0.9892,0.0,0.1613,1.0,1.0,1.0,1.0,0.002,0.0,0.3832,0.0215,1.0,1.0,11.0,0.9394,0.9394,0.8914,0.8788,0.1515,0.8788,0.1212,0.8485,0.0909,0.8485,0.1212,0.0,0.1515,0.0303,0.1818,0.0,0.1515,0.0,0.4714,0.4714,0.1046,0.4562,0.2057,0.4562,0.0847,0.4258,0.0925,0.4258,0.1207,0.0152,0.0152,0.0,0.2057,0.0,0.0,0.0,0.0,0.0028,0.0,0.1014,0.0304,0.0,0.0,0.0,0.0429,0.0429,0.0814,0.0429,0.0857,0.0429,0.0429,0.0429,0.0742,0.0429,0.0857,0.0,0.0857,0.0429,0.0742,0.0,0.0857,"{""nominal"": 31}"
