held_out_family,held_out_subtype,seed,score,n_train,n_calib,n_agg_features,best_feature,best_feature_auroc,best_feature_null_q95,best_feature_perm_p,auroc,auroc_lo,auroc_hi,mw_p,n_pos,n_neg,tpr_at_fpr,threshold_at_fpr,realised_fpr,threshold_q95,withheld_unseen_q95,withheld_seen_q95
spoof,drift_coherent,0,mahalanobis,74,74,32,posvel_rms_max,0.9882352941176471,0.7962745098039214,0.004975124378109453,0.403921568627451,0.2041466576990342,0.6036964795558678,0.36477396646958693,17,15,0.058823529411764705,34.81662867741422,0.0,597.2412482523007,0.0,0.0
spoof,drift_coherent,0,iforest,74,74,32,posvel_rms_max,0.9882352941176471,0.7962745098039214,0.004975124378109453,0.25098039215686274,0.0772245984623206,0.4247361858514049,0.017357181421087806,17,15,0.0,0.513605105888386,0.0,0.6085241726952803,0.0,0.0
spoof,drift_coherent,0,one_minus_conf,74,0,32,posvel_rms_max,0.9882352941176471,0.7962745098039214,0.004975124378109453,0.6509803921568628,0.4599687376962336,0.8419920466174919,0.15129156215817102,17,15,0.0,0.5407482147499643,0.0,,,
spoof,drift_coherent,0,mahalanobis_pca10,74,74,32,posvel_rms_max,0.9882352941176471,0.7962745098039214,0.004975124378109453,0.3686274509803922,0.17257106030145986,0.5646838416593245,0.21270176830163512,17,15,0.058823529411764705,14.65328855225746,0.0,108.09681674539414,0.0,0.0
spoof,drift_coherent,1,mahalanobis,74,74,32,posvel_rms_max,0.9921568627450981,0.807843137254902,0.004975124378109453,0.23529411764705882,0.0657886608093039,0.40479957448481374,0.011402873635608692,17,15,0.0,1132.827305798329,0.0,333.5569587719592,0.0,0.06666666666666667
spoof,drift_coherent,1,iforest,74,74,32,posvel_rms_max,0.9921568627450981,0.807843137254902,0.004975124378109453,0.10196078431372549,0.0,0.21861608097834476,0.00013671481675345607,17,15,0.0,0.5261381596077822,0.0,0.509044620996735,0.0,0.06666666666666667
spoof,drift_coherent,1,one_minus_conf,74,0,32,posvel_rms_max,0.9921568627450981,0.807843137254902,0.004975124378109453,0.7372549019607844,0.564133811929799,0.9103759919917698,0.023465791553119224,17,15,0.35294117647058826,0.4329834234488017,0.0,,,
spoof,drift_coherent,1,mahalanobis_pca10,74,74,32,posvel_rms_max,0.9921568627450981,0.807843137254902,0.004975124378109453,0.32941176470588235,0.1390320823710012,0.5197914470407635,0.10441891405640567,17,15,0.0,138.22113935149395,0.0,184.1778966512635,0.0,0.0
spoof,drift_coherent,2,mahalanobis,74,74,32,posvel_rms_max,0.9764705882352941,0.7923529411764705,0.004975124378109453,0.1803921568627451,0.02858747314495133,0.3321968405805389,0.0022223851324291153,17,15,0.0,116.66865598092198,0.0,77.73073187259828,0.0,0.06666666666666667
spoof,drift_coherent,2,iforest,74,74,32,posvel_rms_max,0.9764705882352941,0.7923529411764705,0.004975124378109453,0.11764705882352941,0.0,0.2425341394064999,0.0002492918537168427,17,15,0.0,0.5835671038720645,0.0,0.5423486443221441,0.0,0.13333333333333333
