tag,family,coverage,avg_set_size,abstain_rate,n,rep,model,alpha
xgb_alpha0.2,nominal,0.75,1.55,0.55,20,4,xgb,0.2
xgb_alpha0.2,spoof,0.9,1.45,0.45,20,4,xgb,0.2
xgb_alpha0.2,gps_degrade,1.0,1.45,0.3,20,4,xgb,0.2
xgb_alpha0.2,sensor_fault,1.0,1.4,0.25,20,4,xgb,0.2
logreg_alpha0.1,nominal,0.9,2.5,0.95,20,4,logreg,0.1
logreg_alpha0.1,spoof,1.0,2.5,0.85,20,4,logreg,0.1
logreg_alpha0.1,gps_degrade,0.9,2.35,0.85,20,4,logreg,0.1
logreg_alpha0.1,sensor_fault,1.0,1.85,0.5,20,4,logreg,0.1
logreg_alpha0.2,nominal,0.8,2.05,0.8,20,4,logreg,0.2
logreg_alpha0.2,spoof,0.95,2.05,0.8,20,4,logreg,0.2
logreg_alpha0.2,gps_degrade,0.9,1.6,0.4,20,4,logreg,0.2
logreg_alpha0.2,sensor_fault,1.0,1.4,0.3,20,4,logreg,0.2
