rep,model,T,tag,acc,macro_f1,ece,nll,brier
0,xgb,1.070715501787367,raw,0.7827909270216963,0.7731006012938128,0.05383977628570068,0.5197655819168865,0.32478555953290084
0,xgb,1.070715501787367,temp_scaled,0.7827909270216963,0.7731006012938128,0.04828210363628468,0.5137909362654113,0.3233432128996906
0,logreg,0.8395654015452837,raw,0.6365877712031558,0.6875448211174873,0.022318339329037318,0.8007754538812829,0.4382152511720551
0,logreg,0.8395654015452837,temp_scaled,0.6365877712031558,0.6875448211174873,0.03411187888597803,0.8003719396594614,0.43759250464025284
1,xgb,1.6801925452998103,raw,0.7744767861438537,0.7866695362732794,0.06727364003426536,0.542719467756434,0.3370163959238822
1,xgb,1.6801925452998103,temp_scaled,0.7744767861438537,0.7866695362732794,0.03948211144254487,0.5248063813954009,0.32787644202337624
1,logreg,1.1137633162880787,raw,0.6487851816213616,0.6929109089324226,0.057969486596497165,0.7611613342367036,0.4570905559257238
1,logreg,1.1137633162880787,temp_scaled,0.6487851816213616,0.6929109089324226,0.053111775946301364,0.7600087167200983,0.4555182991560676
2,xgb,1.2094086148625238,raw,0.7492174331808331,0.7474231733818949,0.08115013651064922,0.5865271564760867,0.3670059762491268
2,xgb,1.2094086148625238,temp_scaled,0.7492174331808331,0.7474231733818949,0.050642986016894403,0.5601579817517928,0.3578149629864488
2,logreg,1.15770032599271,raw,0.6016132915964363,0.6389801073332464,0.08505990117493845,0.8800378294056688,0.4945520783281814
2,logreg,1.15770032599271,temp_scaled,0.6016132915964363,0.6389801073332464,0.08898326259308971,0.8627883085558802,0.49217382510664137
3,xgb,1.395017688049024,raw,0.8119311193111931,0.7975987424172584,0.04959110831989934,0.4909960364886376,0.29415185242165154
3,xgb,1.395017688049024,temp_scaled,0.8119311193111931,0.7975987424172584,0.04684979020096117,0.4814148115167461,0.29353005405916643
3,logreg,1.0564950885344166,raw,0.6001230012300123,0.6367707442564796,0.024725279021239444,0.8116169780305013,0.46147279908888156
3,logreg,1.0564950885344166,temp_scaled,0.6001230012300123,0.6367707442564796,0.02772293783600139,0.8113518352595616,0.46247028339862806
4,xgb,1.3964401627459098,raw,0.7710769230769231,0.7908847385306912,0.04990596139430964,0.5179977720793881,0.3216441540118556
4,xgb,1.3964401627459098,temp_scaled,0.7710769230769231,0.7908847385306912,0.018463370326840013,0.5004478558788648,0.31576086985305435
4,logreg,0.9206884917269775,raw,0.6217846153846154,0.6832348768705068,0.034345486495996856,0.8245546040868966,0.45493960534752853
4,logreg,0.9206884917269775,temp_scaled,0.6217846153846154,0.6832348768705068,0.0342801788613,0.8251532952428795,0.4543077314846688
