held_out_family,held_out_subtype,n_held,acc_on_held,pred_dist_on_held,mean_conf_on_held,coverage_a0.1,abstain_a0.1,coverage_a0.2,abstain_a0.2
spoof,drift_coherent,17,0.29411764705882354,"{""nominal"": 12, ""spoof"": 5}",0.6817254932233672,0.29411764705882354,0.0,0.23529411764705882,0.35294117647058826
spoof,drift_incoherent,22,0.09090909090909091,"{""gps_degrade"": 18, ""spoof"": 2, ""nominal"": 2}",0.839627196181861,0.3181818181818182,0.18181818181818182,0.09090909090909091,0.45454545454545453
spoof,jump,21,0.19047619047619047,"{""gps_degrade"": 9, ""nominal"": 8, ""spoof"": 4}",0.5282042552106531,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.8095238095238095
gps_degrade,off_then_ok,32,0.0,"{""nominal"": 28, ""spoof"": 4}",0.7026697338905955,0.0,0.65625,0.0,0.09375
gps_degrade,stuck_then_ok,28,0.0,"{""spoof"": 26, ""sensor_fault"": 2}",0.9705800020681543,0.0,0.0,0.0,0.0
sensor_fault,baro_stuck,29,0.0,"{""nominal"": 19, ""spoof"": 10}",0.7649089048930098,0.0,0.7241379310344828,0.0,0.10344827586206896
sensor_fault,mag_stuck,31,0.0,"{""nominal"": 23, ""gps_degrade"": 6, ""spoof"": 2}",0.7569107793477216,0.0,0.3870967741935484,0.0,0.25806451612903225
