tag,family,coverage,avg_set_size,abstain_rate,n,rep,aggregation,alpha
rule_alpha0.2,gps_degrade,0.8,1.2,0.15,20,4,rule,0.2
rule_alpha0.2,sensor_fault,0.7,1.2,0.2,20,4,rule,0.2
stacked_alpha0.1,nominal,1.0,1.1,0.1,20,4,stacked,0.1
stacked_alpha0.1,spoof,0.9,1.15,0.15,20,4,stacked,0.1
stacked_alpha0.1,gps_degrade,1.0,1.0,0.0,20,4,stacked,0.1
stacked_alpha0.1,sensor_fault,0.9,0.95,0.05,20,4,stacked,0.1
stacked_alpha0.2,nominal,0.95,1.0,0.0,20,4,stacked,0.2
stacked_alpha0.2,spoof,0.85,0.95,0.05,20,4,stacked,0.2
stacked_alpha0.2,gps_degrade,0.9,0.9,0.1,20,4,stacked,0.2
stacked_alpha0.2,sensor_fault,0.7,0.75,0.25,20,4,stacked,0.2
